NAME,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,LSAD,ALAND,AWATER,White_20,Black_20,AIAA_20,API_20,total_nvb,totalProjectAmount,Number_MobileHomes,POP,Income_Per_Cap,Minority_Population_PerCap,FEMAAmountperpop,geometry
Pasquotank County,"37","139","01026330",0500000US37139,"37139","06","587616451","161745166","22019","14478","213","1529","1555000","979758","2342","40568","24664","39.98225202129758","24.15100571879314",
Pender County,"37","141","01026129",0500000US37141,"37141","06","2256645188","162833566","45305","7619","354","3207","43121259","28794349.62","6659","60203","29266","18.5705031310732","478.2876205504709",
Perquimans County,"37","143","01025841",0500000US37143,"37143","06","640099675","211829497","9412","2715","39","185","0","10000","1451","13005","27569","22.59900038446751","0.7689350249903884",
Tyrrell County,"37","177","01026332",0500000US37177,"37177","06","1012103919","534574452","1903","938","5","197","525000","525809","680","3245","19743","35.13097072419107","162.0366718027735",
Washington County,"37","187","01026331",0500000US37187,"37187","06","897456203","195282200","4999","5375","23","269","1151000","219262.07","1456","11003","23431","51.50413523584477","19.92748068708534",
Beaufort County,"37","013","01026333",0500000US37013,"37013","06","2154800548","338964099","29817","10303","168","2534","105874454","31032321.38","7038","44652","27504","29.1252351518409","694.9816666666667",
Bertie County,"37","015","01026334",0500000US37015,"37015","06","1810858588","109088136","6339","10720","63","276","18660000","10290512.86","3482","17934","22947","61.66499386639902","573.7990888814542",
Brunswick County,"37","019","01026340",0500000US37019,"37019","06","2199384967","518918112","112307","11546","895","4556","7994419","3827615","19667","136693","33312","12.4344333652784","28.00154360501269",
Camden County,"37","029","01026335",0500000US37029,"37029","06","622448682","181112905","8312","1055","49","243","1730000","1240053","647","10355","28221","13.0082085948817","119.7540318686625",
Carteret County,"37","031","01026337",0500000US37031,"37031","06","1314696235","2131054352","58255","3274","312","2074","18399258","5530135","8947","67686","33722","8.362142836036995","81.70278935082587",
Chowan County,"37","041","01025822",0500000US37041,"37041","06","447179929","157966162","8351","4408","47","343","2955936","627248.77","1802","13708","26256","35.0014590020426","45.75786183250656",
Craven County,"37","049","01026123",0500000US37049,"37049","06","1830077186","172715012","66703","20204","413","6263","27890016","17220757.77","6054","100720","29521","26.68784749801429","170.9765465647339",
Currituck County,"37","053","01026125",0500000US37053,"37053","06","678415818","685023988","23878","1392","118","709","2925887","1454550","2218","28100","31849","7.89679715302491","51.76334519572954",
Dare County,"37","055","01026133",0500000US37055,"37055","06","992549370","3000522458","32429","703","181","1441","42873560","16008160","2155","36915","34578","6.298252742787485","433.6491940945415",
Gates County,"37","073","01026126",0500000US37073,"37073","06","882181716","13292008","6762","3023","71","124","0","139965.89","1660","10478","25846","30.71196793281161","13.3580731055545",
Hertford County,"37","091","01026127",0500000US37091,"37091","06","914689326","18737419","7622","12393","206","592","0","5423361","2632","21552","20119","61.2054565701559","251.6407293986637",
Hyde County,"37","095","01008564",0500000US37095,"37095","06","1585935371","2192960963","2956","1169","10","225","33467748","7688765","573","4589","18245","30.59490084985836","1675.477228154282",
New Hanover County,"37","129","01026329",0500000US37129,"37129","06","497802422","353938972","170837","27386","1038","11797","10298577","15196933.62","4136","225702","34288","17.82040035090517","67.33185182231438",
Onslow County,"37","133","01026341",0500000US37133,"37133","06","1973417749","371022642","137072","28026","1460","15750","9183960","3996319","11811","204576","24413","22.11207570780541","19.53464238229313",
Pamlico County,"37","137","01023355",0500000US37137,"37137","06","871535581","583071738","9216","2061","58","313","41807374","12502608.56","1907","12276","29092","19.81101335940046","1018.459478657543",
Pasquotank County,"37","139","01026330",0500000US37139,"37139","06","587616451","161745166","22019","14478","213","1529","1555000","979758","2342","40568","24664","39.98225202129758","24.15100571879314",
Pender County,"37","141","01026129",0500000US37141,"37141","06","2256645188","162833566","45305","7619","354","3207","43121259","28794349.62","6659","60203","29266","18.5705031310732","478.2876205504709",
Perquimans County,"37","143","01025841",0500000US37143,"37143","06","640099675","211829497","9412","2715","39","185","0","10000","1451","13005","27569","22.59900038446751","0.7689350249903884",
Tyrrell County,"37","177","01026332",0500000US37177,"37177","06","1012103919","534574452","1903","938","5","197","525000","525809","680","3245","19743","35.13097072419107","162.0366718027735",
Washington County,"37","187","01026331",0500000US37187,"37187","06","897456203","195282200","4999","5375","23","269","1151000","219262.07","1456","11003","23431","51.50413523584477","19.92748068708534",
